Nr,Success,Iteration,Total points,Tærskel,Minimum_inliers,Maximum_iterations,Found_inliers,Avg_Dist2,Time_spent,Added_outliers
102,True,2,399,5,280,200,299,0.30877586625773373,0.008055899999817484,100
103,True,7,399,5,280,200,299,0.08740289167862443,0.02100120000068273,100
104,True,7,399,5,280,200,299,0.1112874092803966,0.023020000000542495,100
105,True,28,399,5,280,200,299,0.19386476637680403,0.07677530000000843,100
106,True,7,399,5,280,200,299,0.2280726425192008,0.021788699999888195,100
107,True,6,399,5,280,200,288,0.6211887176758704,0.01823810000132653,100
108,True,5,399,5,280,200,288,0.4382734925061535,0.01582549999875482,100
109,True,1,399,5,280,200,289,0.9638228586449398,0.005484299999807263,100
110,True,7,399,5,280,200,299,0.14292423227415316,0.02070600000115519,100
111,True,2,399,5,280,200,299,0.565143994238847,0.00802540000040608,100
112,True,22,399,5,280,200,299,0.12002512178782339,0.06096650000108639,100
113,True,9,399,5,280,200,299,0.13505096257571222,0.02643030000035651,100
114,True,0,399,5,280,200,291,0.7069849312204637,0.0028705999993690057,100
115,True,10,399,5,280,200,299,0.2908295509456206,0.02930989999913436,100
116,True,8,399,5,280,200,299,0.3170954875164866,0.02399390000027779,100
117,True,4,399,5,280,200,299,0.08169245202634941,0.013003199999729986,100
118,True,10,399,5,280,200,299,0.1837091908782621,0.02923009999904025,100
119,True,1,399,5,280,200,283,0.7989236846180351,0.005480500001795008,100
120,True,6,399,5,280,200,299,0.20339877219204003,0.018543899999713176,100
121,True,2,399,5,280,200,299,0.10027350689591287,0.008120600001348066,100
122,True,13,399,5,280,200,290,0.7661567305720969,0.036407300000064424,100
123,True,3,399,5,280,200,299,0.4157057080608342,0.010505800000828458,100
124,True,0,399,5,280,200,299,0.09427555215863401,0.0028884999992442317,100
125,True,4,399,5,280,200,299,0.10324089597956225,0.013445800001136377,100
126,True,0,399,5,280,200,298,0.4246219620333609,0.003038500000911881,100
127,True,4,399,5,280,200,294,0.4014612418371434,0.014134099999864702,100
